"id,category,item_name,description,price,type,image"
"53,Pizza,Chicken Tandoori Pizza,Spicy chicken tandoori pizza,449,Non Veg,images/pizza/chicken-tandoori-pizza.jpg"
"54,Pizza,Peri Peri Chicken Pizza,Peri peri chicken loaded pizza,479,Non Veg,images/pizza/peri-peri-chicken-pizza.jpg"
"55,Pizza,Cheese Burst Pizza,Extra cheese burst pizza,399,Veg,images/pizza/cheese-burst-pizza.jpg"

"56,Burger,Double Chicken Burger,Double patty loaded chicken burger,329,Non Veg,images/burger/double-chicken-burger.jpg"
"57,Burger,Cheese Burst Burger,Loaded cheese burst burger,289,Veg,images/burger/cheese-burst-burger.jpg"
"58,Burger,Smoky BBQ Burger,Smoky barbecue chicken burger,349,Non Veg,images/burger/smoky-bbq-burger.jpg"
"59,Burger,Crispy Veg Burger,Crispy veg patty burger,239,Veg,images/burger/crispy-veg-burger.jpg"
"60,Burger,Loaded Chicken Burger,Chicken burger with extra cheese & fries,379,Non Veg,images/burger/loaded-chicken-burger.jpg"

"61,Dessert,Brownie With Ice Cream,Chocolate brownie with vanilla ice cream,199,Veg,images/dessert/brownie-icecream.jpg"
"62,Dessert,Chocolate Lava Cake,Hot lava chocolate cake,179,Veg,images/dessert/chocolate-lava-cake.jpg"
"63,Dessert,Red Velvet Pastry,Soft red velvet cream pastry,149,Veg,images/dessert/red-velvet-pastry.jpg"
"64,Dessert,Black Forest Pastry,Classic black forest pastry,129,Veg,images/dessert/black-forest-pastry.jpg"
"65,Dessert,Butterscotch Sundae,Butterscotch ice cream sundae,189,Veg,images/dessert/butterscotch-sundae.jpg"

"66,Beverage,Kitkat Shake,Cold kitkat chocolate shake,169,Veg,images/beverage/kitkat-shake.jpg"
"67,Beverage,Strawberry Milkshake,Fresh strawberry milkshake,149,Veg,images/beverage/strawberry-milkshake.jpg"
"68,Beverage,Virgin Mojito,Refreshing mint mojito,129,Veg,images/beverage/virgin-mojito.jpg"
"69,Beverage,Watermelon Cooler,Cold watermelon cooler drink,139,Veg,images/beverage/watermelon-cooler.jpg"
"70,Beverage,Caramel Cold Coffee,Caramel flavored cold coffee,159,Veg,images/beverage/caramel-cold-coffee.jpg"
